"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"9560","cg13573719","4",1017298,"R","FGFRL1","NM_001004358","Body","chr4:1017524-1018938","N_Shore","","","","","","","",NA,"chr4:1014849-1028533",6,"",NA,"","","FGFRL1","NM_001004358","Body"
"9561","cg00244747","12",58016626,"F","SLC26A10","NM_133489","Body","chr12:58014708-58015697","S_Shore","","","","SLC26A10","ENST00000487816.1","TSS1500","chr12:58016265-58016895",3,"",NA,"",NA,"","","SLC26A10","NM_133489","Body"
"9562","cg02981639","7",42155502,"F","GLI3","NM_000168","Body","","","GLI3","ENST00000479210.1","3'UTR","GLI3","ENST00000479210.1","3'UTR","chr7:42155480-42155715",3,"",NA,"",NA,"","","GLI3","NM_000168","Body"
"9563","cg00578158","8",1589681,"F","DLGAP2","NM_004745","Body","chr8:1590038-1592282","N_Shore","","","","","","","chr8:1588825-1589875",3,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"9564","cg13730520","11",69950476,"F","ANO1","NM_018043","Body","","","","","","ANO1","ENST00000529913.1","5'UTR","",NA,"",NA,"",NA,"","","ANO1","NM_018043","Body"
"9565","cg17890044","1",2994372,"F","PRDM16","NM_022114","Body","chr1:2997272-2997473","N_Shelf","","","","","","","",NA,"chr1:2992237-3003395",6,"",NA,"","","PRDM16","NM_022114","Body"
"9566","cg12205903","19",57352021,"F","ZIM2","NM_001146326","1stExon","chr19:57352050-57352284","N_Shore","PEG3","ENST00000326441.7","1stExon","PEG3","ENST00000560264.1","1stExon","chr19:57351860-57352335",3,"",NA,"",NA,"","","ZIM2","NM_001146326","1stExon"
"9567","cg17347386","7",42192975,"F","GLI3","NM_000168","Body","","","GLI3","ENST00000479210.1","TSS1500","GLI3","ENST00000479210.1","TSS1500","",NA,"",NA,"",NA,"","","GLI3","NM_000168","Body"
"9568","cg25754143","11",2445316,"F","TRPM5","NM_014555","TSS1500","chr11:2442070-2442402","S_Shelf","TRPM5","ENST00000533060.1","TSS1500","TRPM5","ENST00000533881.1","TSS1500","",NA,"chr11:2440798-2450985",6,"",NA,"","","TRPM5","NM_014555","TSS1500"
"9569","cg19474833","17",46622899,"F","HOXB2","NM_002145","TSS1500","chr17:46620367-46621373","S_Shore","HOXB-AS1","ENST00000435312.1","5'UTR","HOXB-AS1","ENST00000504972.3","5'UTR","",NA,"",NA,"chr17:46616981-46626353",6,"","","HOXB2","NM_002145","TSS1500"
"9570","cg05342682","7",94953680,"F","PON1","NM_000446","Body","chr7:94953769-94953971","N_Shore","","","","","","","chr7:94953645-94954050",3,"",NA,"",NA,"","","PON1","NM_000446","Body"
"9571","cg00286563","11",131300904,"F","NTM","NM_001048209","Body","","","","","","NTM","ENST00000436745.1","5'UTR","",NA,"chr11:131300356-131300948",3,"chr11:131300090-131301762",3,"","","NTM","NM_001048209","Body"
"9572","cg25922749","7",42225630,"R","GLI3","NM_000168","Body","","","","","","","","","",NA,"",NA,"chr7:42225145-42226513",6,"","","GLI3","NM_000168","Body"
"9573","cg06264984","2",38300885,"F","CYP1B1","NM_000104","Body","chr2:38301276-38304518","N_Shore","CYP1B1","ENST00000494864.1","3'UTR","CYP1B1","ENST00000492443.1","3'UTR","chr2:38300420-38302375",3,"",NA,"",NA,"","","CYP1B1","NM_000104","Body"
"9574","cg02892384","1",3108803,"R","PRDM16","NM_022114","Body","chr1:3111579-3111909","N_Shelf","","","","","","","",NA,"chr1:3100554-3111067",6,"",NA,"","","PRDM16","NM_022114","Body"
"9575","cg26874323","11",2909709,"R","SLC22A18AS","NM_007105","Body","chr11:2905023-2907024","S_Shelf","","","","","","","chr11:2909660-2909875",3,"",NA,"",NA,"","","SLC22A18AS","NM_007105","Body"
"9576","cg02275035","14",70327025,"R","","","","","","SMOC1","ENST00000555917.1","5'UTR","SMOC1","ENST00000555917.1","5'UTR","chr14:70326945-70327175",3,"",NA,"",NA,"","","SMOC1","ENST00000555917.1","5'UTR"
"9577","cg19816354","15",27519506,"F","GABRG3","NM_033223","Body","","","GABRG3","ENST00000554786.1","5'UTR","GABRG3","ENST00000554786.1","5'UTR","",NA,"",NA,"",NA,"","","GABRG3","NM_033223","Body"
"9578","cg16243571","15",25982360,"R","ATP10A","NM_024490","Body","chr15:25981176-25981392","S_Shore","RN5S390","ENST00000410191.1","TSS1500","RN5S390","ENST00000410191.1","TSS1500","chr15:25982305-25982815",3,"",NA,"",NA,"","","ATP10A","NM_024490","Body"
"9579","cg06262497","1",3564676,"R","WDR8","NM_017818","Body","chr1:3566445-3569636","N_Shore","","","","WRAP73","ENST00000479331.1","3'UTR","",NA,"chr1:3563951-3565092",6,"",NA,"","","WDR8","NM_017818","Body"
"9580","cg25019918","14",70320508,"R","","","","chr14:70316847-70317240","S_Shelf","SMOC1","ENST00000555917.1","TSS1500","SMOC1","ENST00000555917.1","TSS1500","chr14:70320345-70320875",3,"",NA,"",NA,"","","SMOC1","ENST00000555917.1","TSS1500"
"9581","cg00965133","20",36157577,"F","BLCAP","NM_001167820","TSS1500","chr20:36156022-36156669","S_Shore","BLCAP","ENST00000397135.1","TSS1500","BLCAP","ENST00000397135.1","TSS1500","",NA,"",NA,"chr20:36150391-36158411",6,"","","BLCAP","NM_001167820","TSS1500"
"9582","cg19702779","6",105404808,"F","LIN28B","NM_001004317","TSS200","chr6:105400877-105401149","S_Shelf","LIN28B","ENST00000345080.4","TSS200","LIN28B","ENST00000345080.4","TSS200","chr6:105404800-105405115",3,"",NA,"",NA,"","","LIN28B","NM_001004317","TSS200"
"9583","cg15518358","11",32452365,"F","WT1","NM_001198552","TSS200","chr11:32452144-32452708","Island","WT1","ENST00000379079.2","TSS200","WT1","ENST00000379079.2","TSS200","chr11:32449205-32452955",3,"",NA,"",NA,"","","WT1","NM_001198552","TSS200"
"9584","cg05540951","8",140641697,"R","KCNK9","NR_104210","Body","","","","","","","","","",NA,"chr8:140641120-140641766",6,"chr8:140641107-140641994",6,"","","KCNK9","NR_104210","Body"
"9585","cg03868865","7",50620895,"R","DDC","NM_001242887","5'UTR","","","DDC","ENST00000380984.4","5'UTR","DDC","ENST00000380984.4","5'UTR","chr7:50620720-50620975",3,"",NA,"",NA,"","","DDC","NM_001242887","5'UTR"
"9586","cg08896387","1",24191740,"R","FUCA1","NM_000147","Body","chr1:24194254-24194990","N_Shelf","FUCA1","ENST00000374475.3","5'UTR","FUCA1","ENST00000374475.3","5'UTR","",NA,"",NA,"chr1:24191337-24196014",6,"","","FUCA1","NM_000147","Body"
"9587","cg08739115","1",3139650,"R","PRDM16","NM_022114","Body","","","","","","","","","",NA,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"9588","cg03824768","5",5320334,"F","ADAMTS16","NM_139056","3'UTR","","","ADAMTS16","ENST00000274181.7","3'UTR","ADAMTS16","ENST00000274181.7","3'UTR","chr5:5320205-5320770",3,"",NA,"",NA,"","","ADAMTS16","NM_139056","3'UTR"
"9589","cg26401058","14",101301802,"F","MEG3","NR_046473","Body","","","MEG3","ENST00000398461.1","1stExon","MEG3","ENST00000398461.1","1stExon","chr14:101301485-101302655",3,"",NA,"",NA,"","","MEG3","NR_046473","Body"
"9590","cg11141455","6",160458107,"R","IGF2R","NM_000876","Body","","","","","","","","","chr6:160457800-160458255",3,"",NA,"",NA,"","","IGF2R","NM_000876","Body"
"9591","cg03930004","7",150778791,"R","FASTK","NM_033015","TSS1500","chr7:150777607-150780879","Island","FASTK","ENST00000540185.1","TSS1500","FASTK","ENST00000467237.1","TSS1500","chr7:150778165-150779315",3,"",NA,"",NA,"","","FASTK","NM_033015","TSS1500"
"9592","cg07434855","20",57413700,"R","GNASAS","NR_002785","Body","chr20:57414595-57414896","N_Shore","GNAS","ENST00000313949.7","TSS1500","GNAS","ENST00000313949.7","TSS1500","",NA,"chr20:57412052-57413733",6,"",NA,"","","GNASAS","NR_002785","Body"
"9593","cg09695430","11",32447944,"F","WT1","NM_024425","Body","chr11:32448261-32449744","N_Shore","","","","","","","chr11:32447845-32448035",3,"",NA,"",NA,"","","WT1","NM_024425","Body"
"9594","cg12688241","7",94674643,"F","PPP1R9A","NM_001166160","Body","","","","","","","","","",NA,"",NA,"chr7:94674584-94675552",6,"","","PPP1R9A","NM_001166160","Body"
"9595","cg20803418","5",20360523,"F","CDH18","NM_001291956","5'UTR","","","CDH18","ENST00000507958.1","5'UTR","CDH18","ENST00000507958.1","5'UTR","chr5:20360400-20360630",3,"",NA,"",NA,"","","CDH18","NM_001291956","5'UTR"
"9596","cg20013151","11",3009702,"F","NAP1L4","NM_005969","5'UTR","chr11:3012799-3014181","N_Shelf","NAP1L4","ENST00000399624.3","5'UTR","NAP1L4","ENST00000455338.2","5'UTR","chr11:3009045-3010050",3,"",NA,"",NA,"","","NAP1L4","NM_005969","5'UTR"
"9597","cg11523681","9",4152699,"R","GLIS3","NM_152629","TSS1500","","","GLIS3","ENST00000324333.10","TSS1500","GLIS3","ENST00000324333.10","TSS1500","",NA,"",NA,"",NA,"","","GLIS3","NM_152629","TSS1500"
"9598","cg01101873","1",3269478,"R","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3269285-3269875",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"9599","cg24864397","7",50779154,"R","GRB10","NM_001001549","Body","","","GRB10","ENST00000439599.1","TSS1500","GRB10","ENST00000439599.1","TSS1500","chr7:50779020-50779275",3,"",NA,"",NA,"","","GRB10","NM_001001549","Body"
"9600","cg03959661","2",207139348,"F","ZDBF2","NM_020923","TSS200","chr2:207139336-207140031","Island","ZDBF2","ENST00000374423.3","TSS200","ZDBF2","ENST00000374423.3","TSS200","chr2:207139100-207139795",3,"",NA,"",NA,"","","ZDBF2","NM_020923","TSS200"
"9601","cg19560370","11",373541,"R","B4GALNT4","NM_178537","Body","chr11:375851-377380","N_Shelf","","","","","","","chr11:373105-373775",3,"",NA,"",NA,"","","B4GALNT4","NM_178537","Body"
"9602","cg18759359","11",2700935,"F","KCNQ1","NM_000218","Body","","","KCNQ1OT1","ENST00000557213.1","1stExon","KCNQ1OT1","ENST00000557213.1","1stExon","",NA,"",NA,"",NA,"","","KCNQ1","NM_000218","Body"
"9603","cg02987368","8",1605546,"F","DLGAP2","NM_004745","Body","","","","","","","","","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"9604","cg02192678","8",1495185,"R","DLGAP2","NM_004745","5'UTR","chr8:1495105-1495333","Island","DLGAP2","ENST00000421627.2","5'UTR","DLGAP2","ENST00000421627.2","5'UTR","chr8:1495165-1496055",3,"",NA,"",NA,"","","DLGAP2","NM_004745","5'UTR"
"9605","cg03453744","17",46627484,"R","HOXB3","NM_002146","3'UTR","chr17:46627787-46628444","N_Shore","HOXB-AS1","ENST00000435312.1","5'UTR","HOXB-AS1","ENST00000435312.1","5'UTR","chr17:46627345-46627630",3,"",NA,"",NA,"","","HOXB3","NM_002146","3'UTR"
"9606","cg15524383","13",47440433,"R","HTR2A","NM_000621","Body","","","","","","","","","chr13:47440300-47440655",3,"",NA,"",NA,"","","HTR2A","NM_000621","Body"
"9607","cg00791905","1",92950472,"R","GFI1","NM_001127216","5'UTR","chr1:92945907-92952609","Island","GFI1","ENST00000427103.1","5'UTR","GFI1","ENST00000427103.1","5'UTR","chr1:92949025-92952755",3,"",NA,"",NA,"","","GFI1","NM_001127216","5'UTR"
"9608","cg26811638","20",57427493,"F","GNAS","NM_080425","TSS1500","chr20:57427691-57427995","N_Shore","GNAS","ENST00000371099.2","TSS1500","GNAS","ENST00000371099.2","TSS1500","chr20:57427485-57428235",3,"",NA,"",NA,"","","GNAS","NM_080425","TSS1500"
"9609","cg00560277","7",42267269,"R","GLI3","NM_000168","5'UTR","chr7:42267546-42267823","N_Shore","GLI3","ENST00000395925.3","5'UTR","GLI3","ENST00000448703.1","5'UTR","chr7:42266965-42267550",3,"",NA,"",NA,"","","GLI3","NM_000168","5'UTR"
"9610","cg03655683","2",63281383,"F","OTX1","NM_014562","Body","chr2:63282514-63283122","N_Shore","","","","OTX1","ENST00000405984.4","3'UTR","chr2:63280500-63281675",3,"",NA,"",NA,"","","OTX1","NM_014562","Body"
"9611","cg20317437","1",24172120,"F","FUCA1","NM_000147","3'UTR","","","FUCA1","ENST00000374479.3","3'UTR","FUCA1","ENST00000374479.3","3'UTR","",NA,"",NA,"",NA,"","","FUCA1","NM_000147","3'UTR"
"9612","cg03211173","20",61427693,"R","C20orf20","NM_018270","TSS200","chr20:61427668-61428098","Island","C20orf20","ENST00000370487.3","TSS200","C20orf20","ENST00000370487.3","TSS200","chr20:61427520-61427875",3,"",NA,"",NA,"","","C20orf20","NM_018270","TSS200"
"9613","cg06709201","12",133149635,"F","FBRSL1","NM_001142641","Body","chr12:133146517-133148261","S_Shore","","","","FBRSL1","ENST00000536075.1","5'UTR","chr12:133149365-133149895",3,"",NA,"",NA,"","","FBRSL1","NM_001142641","Body"
"9614","cg26767083","11",2445047,"R","TRPM5","NM_014555","TSS1500","chr11:2442070-2442402","S_Shelf","TRPM5","ENST00000533060.1","TSS1500","TRPM5","ENST00000533881.1","TSS1500","chr11:2444960-2445195",3,"",NA,"",NA,"","","TRPM5","NM_014555","TSS1500"
"9615","cg00371301","7",129962980,"R","CPA4","NM_016352","3'UTR","","","CPA4","ENST00000538687.1","3'UTR","CPA4","ENST00000538687.1","3'UTR","",NA,"",NA,"chr7:129961833-129962999",3,"","","CPA4","NM_016352","3'UTR"
"9616","cg10664618","12",57579466,"F","LRP1","NM_002332","Body","chr12:57579320-57579625","Island","","","","","","","",NA,"chr12:57576572-57600697",6,"",NA,"","","LRP1","NM_002332","Body"
"9617","cg03020925","8",1611543,"R","DLGAP2","NM_004745","Body","","","","","","","","","chr8:1611325-1611615",3,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"9618","cg09253671","11",132201977,"F","NTM","NM_001048209","Body","","","NTM","ENST00000474900.1","5'UTR","NTM","ENST00000496198.1","TSS1500","",NA,"",NA,"",NA,"","","NTM","NM_001048209","Body"
"9619","cg06081361","1",3193787,"F","PRDM16","NM_022114","Body","chr1:3195376-3196052","N_Shore","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3193385-3194235",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"9620","cg02673680","7",150759107,"F","SLC4A2","NM_001199693","TSS1500","chr7:150757031-150757297","S_Shore","SLC4A2","ENST00000392826.2","TSS1500","SLC4A2","ENST00000494125.1","5'UTR","chr7:150758885-150759295",3,"",NA,"",NA,"","","SLC4A2","NM_001199693","TSS1500"
"9621","cg23342980","15",27111478,"R","GABRA5","NM_001165037","TSS1500","chr15:27112030-27113479","N_Shore","GABRA5","ENST00000355395.5","TSS1500","GABRA5","ENST00000355395.5","TSS1500","chr15:27111465-27111950",3,"",NA,"",NA,"","","GABRA5","NM_001165037","TSS1500"
"9622","cg09459714","15",27778361,"R","GABRG3","NM_033223","3'UTR","","","GABRG3","ENST00000333743.6","3'UTR","GABRG3","ENST00000333743.6","3'UTR","",NA,"",NA,"",NA,"","","GABRG3","NM_033223","3'UTR"
"9623","cg11342234","11",2710838,"F","KCNQ1","NM_000218","Body","","","KCNQ1OT1","ENST00000557213.1","1stExon","KCNQ1OT1","ENST00000557213.1","1stExon","",NA,"chr11:2709691-2711836",6,"chr11:2702357-2722926",6,"","","KCNQ1","NM_000218","Body"
"9624","cg07072281","11",2713432,"R","KCNQ1","NM_000218","Body","","","KCNQ1OT1","ENST00000557213.1","1stExon","KCNQ1OT1","ENST00000557213.1","1stExon","",NA,"",NA,"chr11:2702357-2722926",6,"","","KCNQ1","NM_000218","Body"
"9625","cg00577109","19",59074507,"F","MZF1","NM_198055","Body","chr19:59073413-59074755","Island","","","","","","","chr19:59073585-59074855",3,"",NA,"",NA,"high-CpG:63766204-63766545","","MZF1","NM_198055","Body"
"9626","cg19356286","6",11722624,"F","ADTRP","NM_032744","Body","","","ADTRP","ENST00000514824.1","3'UTR","ADTRP","ENST00000514824.1","3'UTR","chr6:11722480-11722835",3,"",NA,"",NA,"","","ADTRP","NM_032744","Body"
"9627","cg06673288","9",4106380,"R","GLIS3","NM_152629","Body","","","","","","","","","chr9:4106320-4106475",3,"",NA,"",NA,"","","GLIS3","NM_152629","Body"
"9628","cg19679544","15",27189784,"R","GABRA5","NM_001165037","Body","","","","","","","","","chr15:27189405-27189855",3,"",NA,"",NA,"","","GABRA5","NM_001165037","Body"
"9629","cg19539533","15",79314129,"F","RASGRF1","NM_001145648","Body","","","RASGRF1","ENST00000560334.1","3'UTR","RASGRF1","ENST00000560334.1","3'UTR","",NA,"",NA,"chr15:79314046-79314574",3,"","","RASGRF1","NM_001145648","Body"
"9630","cg21906716","1",3579978,"R","TP73","NM_005427","5'UTR","","","RP5-1092A11.5","ENST00000443034.1","3'UTR","RP5-1092A11.5","ENST00000443034.1","3'UTR","",NA,"",NA,"",NA,"","","TP73","NM_005427","5'UTR"
"9631","cg12445309","11",131615437,"F","NTM","NM_001048209","Body","","","","","","","","","chr11:131615380-131615630",3,"",NA,"",NA,"","","NTM","NM_001048209","Body"
"9632","cg11211951","8",145729740,"R","GPT","NM_005309","1stExon","chr8:145730390-145732205","N_Shore","GPT","ENST00000394955.2","1stExon","CTD-2517M22.14","ENST00000527086.1","5'UTR","",NA,"chr8:145721049-145756539",6,"chr8:145723683-145729995",6,"","","GPT","NM_005309","1stExon"
"9633","cg08505822","15",25929427,"F","ATP10A","NM_024490","Body","","","","","","ATP10A","ENST00000555450.1","TSS1500","",NA,"",NA,"chr15:25928953-25929616",6,"","","ATP10A","NM_024490","Body"
"9634","cg12031182","3",193855352,"R","HES1","NM_005524","Body","chr3:193854575-193856015","Island","","","","","","","chr3:193854145-193856130",3,"",NA,"",NA,"","","HES1","NM_005524","Body"
"9635","cg17084751","11",6953558,"R","ZNF215","NM_013250","Body","","","ZNF215","ENST00000529903.1","1stExon","ZNF215","ENST00000529903.1","1stExon","chr11:6953445-6953755",3,"",NA,"",NA,"","","ZNF215","NM_013250","Body"
"9636","cg05203776","11",2162582,"F","IGF2AS","NR_028044","Body","chr11:2158951-2162484","S_Shore","IGF2","ENST00000434045.2","TSS200","IGF2","ENST00000434045.2","TSS200","chr11:2162260-2162715",3,"",NA,"",NA,"high-CpG:2118699-2119180","","IGF2AS","NR_028044","Body"
"9637","cg08043665","9",4259577,"F","GLIS3","NM_001042413","Body","","","","","","GLIS3","ENST00000490709.1","3'UTR","chr9:4259540-4259810",3,"",NA,"",NA,"","","GLIS3","NM_001042413","Body"
"9638","cg20294744","13",48978285,"R","RB1","NM_000321","Body","","","","","","LPAR6","ENST00000481832.1","3'UTR","",NA,"chr13:48976610-48978664",6,"",NA,"","","RB1","NM_000321","Body"
"9639","cg01717150","8",140716495,"F","KCNK9","NM_016601","TSS1500","chr8:140714585-140718259","Island","KCNK9","ENST00000522317.1","TSS1500","KCNK9","ENST00000522317.1","TSS1500","chr8:140716185-140717155",3,"",NA,"",NA,"","","KCNK9","NM_016601","TSS1500"
"9640","cg16181396","3",147126206,"F","ZIC1","NM_003412","TSS1500","chr3:147126988-147128999","N_Shore","ZIC1","ENST00000282928.4","TSS1500","ZIC1","ENST00000282928.4","TSS1500","chr3:147124905-147126215",3,"",NA,"",NA,"","","ZIC1","NM_003412","TSS1500"
"9641","cg07511014","10",135191624,"F","PAOX","NM_152911","TSS1500","chr10:135191594-135193307","Island","PAOX","ENST00000368542.2","TSS1500","PAOX","ENST00000368538.2","TSS1500","chr10:135191585-135192555",3,"",NA,"",NA,"","","PAOX","NM_152911","TSS1500"
"9642","cg16139219","7",27182456,"R","HOXA5","NM_019102","Body","chr7:27182613-27185562","N_Shore","HOXA5","ENST00000520854.1","TSS200","HOXA5","ENST00000520854.1","TSS200","chr7:27182245-27183595",3,"",NA,"",NA,"","","HOXA5","NM_019102","Body"
"9643","cg05431839","7",78140102,"R","MAGI2","NM_001301128","Body","","","","","","","","","chr7:78139960-78140230",3,"",NA,"",NA,"","","MAGI2","NM_001301128","Body"
"9644","cg01527581","8",1475228,"F","DLGAP2","NM_004745","5'UTR","","","DLGAP2","ENST00000421627.2","5'UTR","DLGAP2","ENST00000421627.2","5'UTR","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","5'UTR"
"9645","cg14300048","9",72046240,"F","APBA1","NM_001163","3'UTR","","","APBA1","ENST00000265381.3","3'UTR","APBA1","ENST00000265381.3","3'UTR","chr9:72046145-72046435",3,"",NA,"",NA,"","","APBA1","NM_001163","3'UTR"
"9646","cg22072375","21",38081480,"R","SIM2","NM_009586","Body","chr21:38079941-38081833","Island","SIM2","ENST00000290399.6","ExonBnd","SIM2","ENST00000290399.6","ExonBnd","chr21:38081145-38082095",3,"",NA,"",NA,"","","SIM2","NM_009586","Body"
"9647","cg12405341","2",233415195,"F","TIGD1","NM_145702","5'UTR","chr2:233415005-233415811","Island","TIGD1","ENST00000408957.3","1stExon","TIGD1","ENST00000408957.3","1stExon","",NA,"chr2:233414817-233416319",6,"chr2:233414240-233417342",6,"","","TIGD1","NM_145702","5'UTR"
"9648","cg10495980","11",3164728,"R","OSBPL5","NM_020896","5'UTR","","","OSBPL5","ENST00000389989.3","5'UTR","OSBPL5","ENST00000534157.1","5'UTR","chr11:3164505-3164835",3,"",NA,"",NA,"","","OSBPL5","NM_020896","5'UTR"
"9649","cg07683330","7",130125390,"F","MEST","NM_177524","TSS1500","chr7:130126017-130126801","N_Shore","RP11-2E11.5","ENST00000562524.1","TSS1500","RP11-2E11.5","ENST00000562524.1","TSS1500","",NA,"",NA,"",NA,"","","MEST","NM_177524","TSS1500"
"9650","cg12633680","7",150779047,"R","FASTK","NM_033015","TSS1500","chr7:150777607-150780879","Island","FASTK","ENST00000540185.1","TSS1500","FASTK","ENST00000467237.1","TSS1500","chr7:150778165-150779315",3,"",NA,"",NA,"","","FASTK","NM_033015","TSS1500"
"9651","cg22511262","11",32455192,"F","WT1","NM_024425","Body","chr11:32454874-32457311","Island","","","","","","","chr11:32455005-32455235",3,"",NA,"",NA,"","","WT1","NM_024425","Body"
"9652","cg25108743","14",53418316,"R","FERMT2","NM_001134999","TSS1500","chr14:53417108-53418339","Island","FERMT2","ENST00000553373.1","TSS1500","FERMT2","ENST00000554712.1","5'UTR","chr14:53416460-53418670",3,"",NA,"",NA,"","","FERMT2","NM_001134999","TSS1500"
"9653","cg13496591","19",10290229,"F","DNMT1","NM_001130823","Body","","","DNMT1","ENST00000541266.1","TSS1500","DNMT1","ENST00000541266.1","TSS1500","",NA,"",NA,"",NA,"","","DNMT1","NM_001130823","Body"
"9654","cg03870234","12",133118683,"R","FBRSL1","NM_001142641","Body","","","","","","","","","",NA,"chr12:133116693-133123678",6,"",NA,"","","FBRSL1","NM_001142641","Body"
"9655","cg17435683","1",3230609,"R","PRDM16","NM_022114","Body","","","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","",NA,"chr1:3229387-3234667",6,"chr1:3229332-3230642",6,"","","PRDM16","NM_022114","Body"
"9656","cg24420093","11",6947085,"F","ZNF215","NM_013250","TSS1500","chr11:6947520-6948212","N_Shore","ZNF215","ENST00000527171.1","TSS1500","ZNF215","ENST00000527171.1","TSS1500","chr11:6946940-6947195",3,"",NA,"",NA,"","","ZNF215","NM_013250","TSS1500"
"9657","cg04137576","1",3575674,"F","TP73","NM_005427","5'UTR","","","RP5-1092A11.5","ENST00000443034.1","3'UTR","RP5-1092A11.5","ENST00000443034.1","3'UTR","",NA,"",NA,"",NA,"","","TP73","NM_005427","5'UTR"
"9658","cg24365896","11",69974745,"R","ANO1","NM_018043","Body","","","RP11-805J14.3","ENST00000530525.1","TSS1500","RP11-805J14.3","ENST00000530525.1","TSS1500","chr11:69974120-69975190",3,"",NA,"",NA,"","","ANO1","NM_018043","Body"
"9659","cg06068545","1",214535988,"R","PTPN14","NM_005401","Body","","","PTPN14","ENST00000543945.1","3'UTR","PTPN14","ENST00000543945.1","3'UTR","chr1:214535880-214536130",3,"",NA,"",NA,"","","PTPN14","NM_005401","Body"
"9660","cg07296705","11",131262583,"F","NTM","NM_001048209","Body","","","","","","NTM","ENST00000436745.1","5'UTR","chr11:131262480-131262775",3,"",NA,"",NA,"","","NTM","NM_001048209","Body"
"9661","cg00261770","1",3312754,"F","PRDM16","NM_199454","Body","chr1:3310102-3311035","S_Shore","PRDM16","ENST00000408992.3","TSS200","PRDM16","ENST00000509860.1","TSS1500","",NA,"chr1:3307797-3313384",6,"",NA,"","","PRDM16","NM_199454","Body"
"9662","cg12943115","14",70345911,"R","SMOC1","NM_001034852","TSS1500","chr14:70345943-70346527","N_Shore","SMOC1","ENST00000361956.3","TSS1500","SMOC1","ENST00000361956.3","TSS1500","chr14:70345485-70346215",3,"",NA,"",NA,"","","SMOC1","NM_001034852","TSS1500"
"9663","cg07973919","4",1005405,"R","FGFRL1","NM_001004358","TSS1500","chr4:1003106-1005455","Island","FGFRL1","ENST00000398484.2","5'UTR","FGFRL1","ENST00000398484.2","5'UTR","chr4:1004825-1005455",3,"",NA,"",NA,"high-CpG:995384-995434","","FGFRL1","NM_001004358","TSS1500"
"9664","cg21808053","1",68513063,"F","DIRAS3","NM_004675","5'UTR","chr1:68512643-68513005","S_Shore","DIRAS3","ENST00000395201.1","5'UTR","DIRAS3","ENST00000395201.1","5'UTR","chr1:68512960-68513190",3,"",NA,"",NA,"","","DIRAS3","NM_004675","5'UTR"
"9665","cg25054196","6",160426171,"F","IGF2R","NM_000876","Body","chr6:160426264-160427502","N_Shore","","","","","","","chr6:160425845-160426235",3,"",NA,"",NA,"","","IGF2R","NM_000876","Body"
"9666","cg23702688","12",58013241,"R","SLC26A10","NM_133489","TSS1500","chr12:58013171-58013652","Island","AC025165.8","ENST00000444467.1","TSS1500","AC025165.8","ENST00000444467.1","TSS1500","chr12:58013145-58014035",3,"",NA,"",NA,"","","SLC26A10","NM_133489","TSS1500"
"9667","cg17271585","20",36153947,"R","BLCAP","NM_001167821","5'UTR","chr20:36156022-36156669","N_Shelf","BLCAP","ENST00000397135.1","5'UTR","BLCAP","ENST00000397135.1","5'UTR","chr20:36153265-36154055",3,"",NA,"",NA,"","","BLCAP","NM_001167821","5'UTR"
"9668","cg05577437","8",1586825,"R","DLGAP2","NM_004745","Body","chr8:1590038-1592282","N_Shelf","","","","","","","chr8:1586745-1587315",3,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"9669","cg10336600","7",150756561,"R","SLC4A2","NM_003040","TSS200","chr7:150756391-150756659","Island","SLC4A2","ENST00000466368.1","5'UTR","SLC4A2","ENST00000483786.1","5'UTR","chr7:150756525-150757235",3,"",NA,"",NA,"","","SLC4A2","NM_003040","TSS200"
"9670","cg20254225","2",38301438,"F","CYP1B1","NM_000104","Body","chr2:38301276-38304518","Island","CYP1B1-AS1","ENST00000431999.1","TSS1500","CYP1B1","ENST00000462864.1","3'UTR","chr2:38300420-38302375",3,"",NA,"",NA,"","","CYP1B1","NM_000104","Body"
